id,currentteamid,fullname,currentteam,status,jerseynumber,games,wins,losses,ties,shutouts,savepercentage,goalagainstaverage,hot,cold,lastupdated
8471306,19,Thomas Greiss,St. Louis Blues,Y,1,15,5,7,0,1,0.906445,3.289674,0,0,"02/14/2023, 01:53:30"
8476412,19,Jordan Binnington,St. Louis Blues,Y,50,40,19,18,0,2,0.890328,3.314725,0,0,"02/14/2023, 01:53:31"
8474593,20,Jacob Markstrom,Calgary Flames,Y,25,35,14,13,0,0,0.892189,2.899527,0,0,"02/14/2023, 01:53:35"
8478435,20,Dan Vladar,Calgary Flames,Y,80,20,11,5,0,0,0.903461,2.729379,0,0,"02/14/2023, 01:53:38"
8480382,21,Alexandar Georgiev,Colorado Avalanche,Y,40,36,21,12,0,2,0.917241,2.678426,0,0,"02/14/2023, 01:53:43"
8480925,21,Pavel Francouz,Colorado Avalanche,Y,39,15,7,7,0,1,0.919149,2.532536,0,0,"02/14/2023, 01:53:43"
8475789,22,Jack Campbell,Edmonton Oilers,Y,36,27,17,8,0,0,0.889637,3.272836,0,0,"02/14/2023, 01:53:45"
8479973,22,Stuart Skinner,Edmonton Oilers,Y,74,30,13,11,0,0,0.912641,2.950279,0,0,"02/14/2023, 01:53:48"
8477967,23,Thatcher Demko,Vancouver Canucks,I,35,15,3,10,0,0,0.88309,3.931587,0,0,"02/14/2023, 01:53:49"
8477484,23,Spencer Martin,Vancouver Canucks,Y,30,29,11,15,0,0,0.871084,3.987124,0,0,"02/14/2023, 01:53:52"
8480420,23,Collin Delia,Vancouver Canucks,Y,60,13,7,3,0,0,0.887283,3.266864,0,0,"02/14/2023, 01:53:54"
8476434,24,John Gibson,Anaheim Ducks,Y,36,37,10,22,0,1,0.897417,4.045402,0,0,"02/14/2023, 01:53:57"
8476932,24,Anthony Stolarz,Anaheim Ducks,Y,41,19,5,6,0,0,0.896761,3.73148,0,0,"02/14/2023, 01:53:58"
8480843,24,Lukas Dostal,Anaheim Ducks,Y,1,7,2,3,0,0,0.909449,3.533026,0,0,"02/14/2023, 01:53:59"
8475809,25,Scott Wedgewood,Dallas Stars,Y,41,17,7,7,0,1,0.912621,2.908281,0,0,"02/14/2023, 01:54:01"
8479979,25,Jake Oettinger,Dallas Stars,Y,29,40,23,7,0,4,0.925541,2.2154,0,0,"02/14/2023, 01:54:03"
8471734,26,Jonathan Quick,Los Angeles Kings,Y,32,27,8,12,0,1,0.880985,3.412136,0,0,"02/14/2023, 01:54:06"
8477831,26,Pheonix Copley,Los Angeles Kings,Y,29,21,16,3,0,1,0.901434,2.774353,0,0,"02/14/2023, 01:54:07"
8473503,28,James Reimer,San Jose Sharks,Y,47,28,8,14,0,1,0.894677,3.309412,0,0,"02/14/2023, 01:54:11"
8477180,28,Aaron Dell,San Jose Sharks,Y,30,3,0,2,0,0,0.907895,3.003576,0,0,"02/14/2023, 01:54:12"
8478039,28,Kaapo Kahkonen,San Jose Sharks,Y,36,23,8,10,0,1,0.879589,3.694433,0,0,"02/14/2023, 01:54:12"
8476914,29,Joonas Korpisalo,Columbus Blue Jackets,Y,70,24,8,10,0,0,0.907243,3.330883,0,0,"02/14/2023, 01:54:18"
8478007,29,Elvis Merzlikins,Columbus Blue Jackets,Y,90,22,6,14,0,0,0.871017,4.343013,0,0,"02/14/2023, 01:54:18"
8470594,30,Marc-Andre Fleury,Minnesota Wild,Y,29,33,16,12,0,1,0.902311,2.97833,0,0,"02/14/2023, 01:54:22"
8479406,30,Filip Gustavsson,Minnesota Wild,Y,32,22,12,8,0,1,0.923453,2.245163,0,0,"02/14/2023, 01:54:26"
8476945,52,Connor Hellebuyck,Winnipeg Jets,Y,37,41,25,15,0,3,0.924207,2.411813,0,0,"02/14/2023, 01:54:29"
8479496,52,David Rittich,Winnipeg Jets,Y,33,13,8,4,0,0,0.908824,2.576058,0,0,"02/14/2023, 01:54:32"
8478872,53,Karel Vejmelka,Arizona Coyotes,Y,70,37,14,17,0,3,0.90563,3.235894,0,0,"02/14/2023, 01:54:36"
8478971,53,Connor Ingram,Arizona Coyotes,Y,39,17,3,11,0,0,0.899489,3.605684,0,0,"02/14/2023, 01:54:36"
8478499,54,Adin Hill,Vegas Golden Knights,Y,33,21,12,5,0,0,0.909091,2.552852,0,0,"02/14/2023, 01:54:42"
8480313,54,Logan Thompson,Vegas Golden Knights,Y,36,36,20,13,0,2,0.913998,2.663539,0,0,"02/14/2023, 01:54:43"
8474889,55,Martin Jones,Seattle Kraken,Y,30,37,23,9,0,3,0.89135,2.919018,0,0,"02/14/2023, 01:54:45"
8475831,55,Philipp Grubauer,Seattle Kraken,Y,31,19,6,9,0,0,0.895833,2.972603,0,0,"02/14/2023, 01:54:45"
