id,teamid,playername,currentteam,position,status,jerseynumber,goals,GPG,assists,APG,pim,shots,SPG,games,hits,powerplaygoals,powerplaypoints,faceoffpct,plusminus,blocked,BPG,points,PPG,FPPG,timeonicepergame,powerPlayTimeOnIcePerGame,hot,cold,lastupdated
8477964,19,Ivan Barbashev,St. Louis Blues,Center,Y,49,10,0.18,18,0.32,34,85,1.52,56,115,0,3,38.58,-8,26,0.46,28,0.5,6.01,16.17,1.55,0,0,"02/20/2023, 01:26:37"
8478104,19,Sammy Blais,St. Louis Blues,Left Wing,Y,79,2,0.04,5,0.11,10,41,0.91,45,136,0,0,16.67,0,19,0.42,7,0.16,2.8,10.05,0.24,0,0,"02/20/2023, 01:26:37"
8479366,19,Logan Brown,St. Louis Blues,Center,Y,22,0,0.0,3,0.2,4,8,0.53,15,9,0,0,34.21,-3,5,0.33,3,0.2,2.22,9.56,0.58,0,0,"02/20/2023, 01:26:38"
8479385,19,Jordan Kyrou,St. Louis Blues,Center,Y,25,25,0.47,29,0.55,8,185,3.49,53,10,9,18,40.0,-24,26,0.49,54,1.02,12.62,18.17,2.56,0,0,"02/20/2023, 01:26:38"
8480023,19,Robert Thomas,St. Louis Blues,Center,Y,18,13,0.25,35,0.66,16,76,1.43,53,11,3,16,54.47,-2,22,0.42,48,0.91,8.12,19.15,3.05,0,0,"02/20/2023, 01:26:38"
8480157,19,Calle Rosen,St. Louis Blues,Defenseman,Y,43,7,0.19,8,0.22,8,48,1.3,37,13,0,0,0.0,16,37,1.0,15,0.41,5.96,15.36,0.2,0,0,"02/20/2023, 01:26:38"
8480281,19,Alexey Toropchenko,St. Louis Blues,Right Wing,Y,13,4,0.09,5,0.12,10,49,1.14,43,89,0,0,0.0,-2,17,0.4,9,0.21,3.6,11.05,0.07,0,0,"02/20/2023, 01:26:38"
8481006,19,Tyler Tucker,St. Louis Blues,Defenseman,Y,75,0,0.0,1,0.06,31,16,0.94,17,29,0,0,0.0,-1,18,1.06,1,0.06,3.09,14.41,0.01,0,0,"02/20/2023, 01:26:38"
8481543,19,Nikita Alexandrov,St. Louis Blues,Center,Y,59,3,0.16,2,0.11,8,19,1.0,19,16,0,0,33.33,4,10,0.53,5,0.26,4.1,9.05,0.11,0,0,"02/20/2023, 01:26:39"
8482089,19,Jake Neighbours,St. Louis Blues,Left Wing,Y,63,4,0.13,4,0.13,9,37,1.23,30,33,1,2,25.0,-17,11,0.37,8,0.27,4.08,12.04,0.59,0,0,"02/20/2023, 01:26:39"
8473453,20,Trevor Lewis,Calgary Flames,Center,Y,22,8,0.14,7,0.12,10,114,2.04,56,106,1,1,44.24,-3,19,0.34,15,0.27,5.29,12.19,0.08,0,0,"02/20/2023, 01:26:39"
8473473,20,Milan Lucic,Calgary Flames,Left Wing,Y,17,4,0.08,9,0.17,32,52,0.98,53,122,0,0,40.74,-9,13,0.25,13,0.25,3.33,11.37,0.13,0,0,"02/20/2023, 01:26:39"
8474150,20,Mikael Backlund,Calgary Flames,Center,Y,11,11,0.2,25,0.45,28,176,3.14,56,64,2,3,51.58,18,17,0.3,36,0.64,9.05,17.4,1.47,1,0,"02/20/2023, 01:26:39"
8474628,20,Michael Stone,Calgary Flames,Defenseman,Y,26,5,0.11,5,0.11,35,86,1.87,46,52,0,2,0.0,2,55,1.2,10,0.22,5.85,13.13,0.26,0,0,"02/20/2023, 01:26:40"
8475172,20,Nazem Kadri,Calgary Flames,Center,Y,91,21,0.38,20,0.36,48,188,3.36,56,58,9,15,46.85,-10,26,0.46,41,0.73,10.67,17.4,3.08,0,0,"02/20/2023, 01:26:40"
8475690,20,Chris Tanev,Calgary Flames,Defenseman,Y,8,1,0.02,10,0.22,13,43,0.93,46,29,0,1,0.0,0,94,2.04,11,0.24,5.32,20.03,0.14,0,0,"02/20/2023, 01:26:40"
8475726,20,Tyler Toffoli,Calgary Flames,Right Wing,Y,73,22,0.39,26,0.46,22,172,3.07,56,51,8,17,50.0,8,11,0.2,48,0.86,10.48,16.42,3.02,0,0,"02/20/2023, 01:26:40"
8476399,20,Blake Coleman,Calgary Flames,Center,Y,20,12,0.21,15,0.27,42,129,2.3,56,74,0,0,50.0,12,28,0.5,27,0.48,7.23,15.01,0.07,0,0,"02/20/2023, 01:26:40"
8476439,20,Brett Ritchie,Calgary Flames,Right Wing,Y,24,6,0.18,2,0.06,23,46,1.35,34,58,0,0,66.67,2,5,0.15,8,0.24,4.05,9.24,0.09,0,0,"02/20/2023, 01:26:41"
8476456,20,Jonathan Huberdeau,Calgary Flames,Center,Y,10,10,0.19,28,0.53,30,86,1.62,53,46,3,13,40.0,-2,20,0.38,38,0.72,7.19,16.56,3.02,0,0,"02/20/2023, 01:26:41"
8477346,20,MacKenzie Weegar,Calgary Flames,Defenseman,Y,52,1,0.02,15,0.27,39,96,1.75,55,119,0,1,0.0,4,80,1.45,16,0.29,6.03,20.41,0.47,0,0,"02/20/2023, 01:26:41"
8477496,20,Elias Lindholm,Calgary Flames,Center,Y,28,16,0.3,33,0.61,10,117,2.17,54,57,7,15,56.69,3,28,0.52,49,0.91,9.53,18.49,3.01,0,0,"02/20/2023, 01:26:41"
8477507,20,Nikita Zadorov,Calgary Flames,Defenseman,Y,16,8,0.14,5,0.09,53,88,1.57,56,126,0,1,0.0,10,62,1.11,13,0.23,5.44,19.22,0.13,0,0,"02/20/2023, 01:26:41"
8478233,20,Andrew Mangiapane,Calgary Flames,Left Wing,Y,88,12,0.21,17,0.3,24,123,2.2,56,71,0,1,33.33,6,20,0.36,29,0.52,7.05,16.37,1.58,0,0,"02/20/2023, 01:26:41"
8478396,20,Noah Hanifin,Calgary Flames,Defenseman,Y,55,4,0.07,20,0.36,31,125,2.27,55,58,1,4,0.0,13,87,1.58,24,0.44,7.85,22.34,2.07,0,0,"02/20/2023, 01:26:42"
8478397,20,Rasmus Andersson,Calgary Flames,Defenseman,Y,4,7,0.13,29,0.55,18,113,2.13,53,40,0,16,0.0,7,93,1.75,36,0.68,9.32,24.31,3.04,0,0,"02/20/2023, 01:26:42"
8478502,20,Dennis Gilbert,Calgary Flames,Defenseman,Y,48,1,0.08,2,0.17,20,8,0.67,12,22,0,0,0.0,0,12,1.0,3,0.25,3.83,10.48,0.0,0,0,"02/20/2023, 01:26:42"
8479346,20,Dillon Dube,Calgary Flames,Center,Y,29,16,0.29,18,0.32,41,103,1.84,56,89,1,3,44.93,0,15,0.27,34,0.61,7.18,15.31,1.29,1,0,"02/20/2023, 01:26:42"
8480008,20,Adam Ruzicka,Calgary Flames,Center,Y,63,6,0.15,14,0.35,8,59,1.48,40,24,2,6,47.26,2,5,0.12,20,0.5,5.4,11.48,1.48,0,0,"02/20/2023, 01:26:42"
8481592,20,Jakob Pelletier,Calgary Flames,Left Wing,Y,49,1,0.1,1,0.1,0,17,1.7,10,5,0,0,0.0,-2,4,0.4,2,0.2,4.42,13.38,2.08,0,0,"02/20/2023, 01:26:43"
8482067,20,Connor Mackey,Calgary Flames,Defenseman,Y,3,2,0.2,1,0.1,9,8,0.8,10,11,0,0,0.0,-6,5,0.5,3,0.3,4.05,10.17,0.0,0,0,"02/20/2023, 01:26:43"
8473446,21,Erik Johnson,Colorado Avalanche,Defenseman,Y,6,0,0.0,7,0.14,12,80,1.57,51,96,0,0,0.0,5,78,1.53,7,0.14,5.04,17.31,0.01,0,0,"02/20/2023, 01:26:43"
8476948,21,Charles Hudon,Colorado Avalanche,Left Wing,Y,54,0,0.0,0,0.0,2,18,2.0,9,13,0,0,55.56,-2,2,0.22,0,0.0,3.29,10.46,0.53,0,0,"02/20/2023, 01:26:43"
8480846,21,Sampo Ranta,Colorado Avalanche,Left Wing,Y,75,0,0.0,0,0.0,4,5,0.83,6,10,0,0,0.0,0,3,0.5,0,0.0,1.9,7.2,0.0,0,0,"02/20/2023, 01:26:43"
8482147,21,Jean-Luc Foudy,Colorado Avalanche,Center,Y,93,0,0.0,0,0.0,6,12,1.33,9,2,0,0,0.0,-3,2,0.22,0,0.0,2.28,10.01,0.45,0,0,"02/20/2023, 01:26:43"
8483570,21,Ben Meyers,Colorado Avalanche,Center,Y,59,1,0.03,0,0.0,6,25,0.81,31,19,0,0,51.41,-5,11,0.35,1,0.03,1.93,10.0,0.17,0,0,"02/20/2023, 01:26:44"
8471699,21,Andrew Cogliano,Colorado Avalanche,Center,Y,11,9,0.17,5,0.09,30,70,1.32,53,32,0,0,43.59,4,39,0.74,14,0.26,4.84,13.23,0.01,0,0,"02/20/2023, 01:26:44"
8471794,21,Darren Helm,Colorado Avalanche,Center,Y,43,0,0.0,0,0.0,0,3,0.6,5,10,0,0,48.72,-4,1,0.2,0,0.0,1.16,9.28,0.0,0,0,"02/20/2023, 01:26:44"
