player_id,date,home_game,opp,TOI,saves,save_perc,goals_against,shots_against,decision,shutout,save_pctg,ot,fantasy_points
8467950,2023-01-17,False,@CHI,62:24,22,0.846154,4,26,O,0,0.846154,1,3.3999999999999986
8467950,2023-01-09,True,PHI,60:00,34,0.894737,4,38,L,0,0.894737,0,9.799999999999997
8467950,2023-01-01,False,@OTT,58:57,30,0.9375,2,32,L,0,0.9375,0,14.0
8477480,2023-02-15,False,@ANA,60:00,19,0.863636,3,22,W,0,0.863636,0,8.799999999999999
8477480,2023-01-26,False,@WPG,59:33,19,0.904762,2,21,W,0,0.904762,0,12.299999999999999
8477480,2023-01-10,True,SEA,57:45,18,0.818182,4,22,L,0,0.818182,0,-1.4000000000000004
8477480,2022-11-16,False,@OTT,32:36,22,0.916667,2,24,L,0,0.916667,0,8.399999999999999
8477480,2022-11-10,True,VGK,58:11,29,0.828571,6,35,L,0,0.828571,0,-0.7000000000000028
8480045,2023-02-18,False,@SJS,60:00,33,0.942857,2,35,W,0,0.942857,0,22.099999999999998
8480045,2023-02-11,True,CGY,59:45,33,0.825,7,40,L,0,0.825,0,-1.4000000000000021
8480045,2023-02-01,True,CAR,58:39,29,0.878788,4,33,L,0,0.878788,0,6.299999999999997
8480045,2023-01-28,False,@MIN,65:00,33,0.942857,2,35,O,0,0.942857,1,18.099999999999998
8480045,2023-01-24,False,@STL,60:00,25,0.892857,3,28,W,0,0.892857,0,13.0
8474596,2023-02-18,False,@TOR,60:00,36,0.878049,5,41,L,0,0.878049,0,7.699999999999999
8474596,2023-02-14,True,CHI,60:00,22,1.0,0,22,W,1,1.0,0,25.4
8474596,2023-02-12,True,EDM,60:00,29,0.935484,2,31,W,0,0.935484,0,19.299999999999997
8474596,2023-01-31,True,OTT,58:48,24,0.827586,5,29,L,0,0.827586,0,-0.7000000000000028
8474596,2023-01-26,True,DET,62:36,38,0.904762,4,42,O,0,0.904762,1,14.599999999999998
8478470,2023-02-16,False,@CAR,60:00,35,0.853659,6,41,L,0,0.853659,0,3.5
8478470,2023-02-11,True,NYI,64:38,27,0.9,3,30,W,0,0.9,0,14.399999999999999
8478470,2023-01-28,False,@OTT,56:08,31,0.885714,4,35,L,0,0.885714,0,7.699999999999999
8478470,2023-01-24,True,BOS,58:18,25,0.892857,3,28,L,0,0.892857,0,7.0
8478470,2023-01-21,True,TOR,61:49,36,0.947368,2,38,W,0,0.947368,0,24.2
8475660,2023-01-25,True,NYI,28:05,14,1.0,0,14,W,0,1.0,0,15.799999999999999
8475660,2023-01-20,False,@PIT,60:00,40,0.909091,4,44,L,0,0.909091,0,14.0
8475660,2023-01-18,True,PIT,59:34,15,0.789474,4,19,W,0,0.789474,0,2.5
8475660,2023-01-16,False,@STL,58:51,18,0.9,2,20,L,0,0.9,0,5.6
8475660,2023-01-09,True,NSH,58:12,33,0.916667,3,36,L,0,0.916667,0,12.599999999999998
8476341,2023-02-11,True,EDM,54:37,31,0.837838,6,37,L,0,0.837838,0,0.6999999999999993
8476341,2023-01-31,False,@MTL,59:49,28,0.875,4,32,W,0,0.875,0,11.599999999999998
8476341,2023-01-28,True,MTL,60:00,28,1.0,0,28,W,1,1.0,0,29.599999999999998
8476341,2023-01-27,False,@TOR,60:00,31,0.939394,2,33,W,0,0.939394,0,20.7
8480867,2023-02-20,False,@BOS,57:12,29,0.90625,3,32,L,0,0.90625,0,9.799999999999997
8480867,2023-02-14,False,@NYI,65:00,46,0.958333,2,48,W,0,0.958333,0,31.199999999999996
8481544,2023-02-19,True,STL,60:00,30,0.9375,2,32,W,0,0.9375,0,20.0
8481544,2023-02-17,True,CHI,62:40,28,0.875,4,32,O,0,0.875,1,7.599999999999998
8481544,2023-02-13,True,CGY,61:06,34,0.918919,3,37,W,0,0.918919,0,19.299999999999997
8476899,2023-01-14,False,@BOS,58:48,30,0.882353,4,34,L,0,0.882353,0,7.0
8476899,2023-01-11,True,NSH,60:00,32,0.969697,1,33,W,0,0.969697,0,24.9
8476899,2023-01-08,False,@PHI,60:00,34,0.944444,2,36,W,0,0.944444,0,22.799999999999997
8476899,2023-01-05,True,SEA,60:00,21,0.807692,5,26,L,0,0.807692,0,-2.8000000000000007
8478492,2023-02-19,False,@CHI,58:22,23,0.851852,4,27,L,0,0.851852,0,2.099999999999998
8478492,2023-02-15,True,CHI,59:16,27,0.931034,2,29,W,0,0.931034,0,17.9
8478492,2023-02-10,False,@CBJ,60:00,30,1.0,0,30,W,1,1.0,0,31.0
8478492,2023-02-01,True,BOS,59:55,24,0.827586,5,29,L,0,0.827586,0,-0.7000000000000028
8478492,2023-01-29,True,WSH,59:49,23,0.958333,1,24,W,0,0.958333,0,18.599999999999998
8479361,2023-02-18,True,MTL,59:35,29,0.966667,1,30,W,0,0.966667,0,22.799999999999997
8479361,2023-02-11,True,CBJ,56:56,36,0.9,4,40,L,0,0.9,0,11.2
8475883,2023-02-18,True,WSH,60:00,24,0.96,1,25,W,0,0.96,0,19.299999999999997
8475883,2023-02-14,False,@WSH,60:00,34,0.944444,2,36,W,0,0.944444,0,22.799999999999997
8475883,2023-02-11,True,NYR,59:26,13,0.722222,5,18,L,0,0.722222,0,-8.4
8475883,2023-01-31,True,LAK,64:06,17,0.809524,4,21,W,0,0.809524,0,3.8999999999999986
8475883,2023-01-29,True,BOS,59:53,24,0.96,1,25,W,0,0.96,0,19.299999999999997
8477293,2023-02-16,True,MTL,59:48,20,0.909091,2,22,W,0,0.909091,0,13.0
8477293,2023-02-01,False,@BUF,60:00,29,0.966667,1,30,W,0,0.966667,0,22.799999999999997
8477293,2023-01-27,True,SJS,59:25,26,0.896552,3,29,W,0,0.896552,0,13.7
8477293,2023-01-25,False,@DAL,41:34,15,1.0,0,15,W,0,1.0,0,16.5
8477293,2023-01-07,False,@CBJ,65:00,15,0.833333,3,18,O,0,0.833333,1,2.0
8475683,2023-02-20,True,ANA,61:42,29,0.90625,3,32,W,0,0.90625,0,15.799999999999997
8475683,2023-02-18,False,@NSH,27:40,7,0.636364,4,11,L,0,0.636364,0,-9.100000000000001
